DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostSorted,64,0.333333,counting_sort,828,38.5331,true
AlmostSorted,64,0.333333,radix_sort,8044.31,415.724,true
AlmostSorted,64,0.333333,heap_sort,8388.25,313.368,true
AlmostSorted,64,0.333333,insertion_sort,4020.06,148.498,true
AlmostSorted,64,0.333333,selection_sort,12918.4,150.348,true
AlmostSorted,64,0.333333,shell_sort,6238.19,244.415,true
AlmostSorted,64,0.416667,bubble_sort,11764.3,459.954,true
AlmostSorted,64,0.416667,merge_sort,20350.7,226.809,true
AlmostSorted,64,0.416667,counting_sort,836,19.8125,true
AlmostSorted,64,0.416667,radix_sort,8978.31,1293.36,true
AlmostSorted,64,0.416667,heap_sort,8108.25,252.624,true
AlmostSorted,64,0.416667,insertion_sort,4632.31,464.686,true
AlmostSorted,64,0.416667,selection_sort,12876.4,203.421,true
AlmostSorted,64,0.416667,shell_sort,6368.25,295.163,true
AlmostSorted,128,0,bubble_sort,716,43.5247,true
AlmostSorted,128,0,merge_sort,33643.2,363.29,true
AlmostSorted,128,0,counting_sort,1542,139.836,true
AlmostSorted,128,0,radix_sort,10578.4,147.71,true
AlmostSorted,128,0,heap_sort,12830.6,2834.66,true
AlmostSorted,128,0,insertion_sort,1118,50.2155,true
AlmostSorted,128,0,selection_sort,39147.4,67.9508,true
AlmostSorted,128,0,shell_sort,4232.19,30.0249,true
AlmostSorted,128,0.0833333,bubble_sort,11182.1,677.661,true
AlmostSorted,128,0.0833333,merge_sort,37529.2,539.373,true
AlmostSorted,128,0.0833333,counting_sort,1502.06,35.9007,true
AlmostSorted,128,0.0833333,radix_sort,13794.1,458.593,true
AlmostSorted,128,0.0833333,heap_sort,17918.9,803.626,true
AlmostSorted,128,0.0833333,insertion_sort,4906.06,130.569,true
AlmostSorted,128,0.0833333,selection_sort,42929.5,421.679,true
AlmostSorted,128,0.0833333,shell_sort,11032.4,378.79,true
AlmostSorted,128,0.166667,bubble_sort,20580.7,1005.3,true
AlmostSorted,128,0.166667,merge_sort,39007.3,436.36,true
AlmostSorted,128,0.166667,counting_sort,1518.12,28.633,true
AlmostSorted,128,0.166667,radix_sort,15718.6,359.338,true
AlmostSorted,128,0.166667,heap_sort,18394.7,719.274,true
AlmostSorted,128,0.166667,insertion_sort,8408.25,913.295,true
AlmostSorted,128,0.166667,selection_sort,44483.7,1627.77,true
AlmostSorted,128,0.166667,shell_sort,12952.3,358.422,true
AlmostSorted,128,0.25,bubble_sort,29149,1830.51,true
AlmostSorted,128,0.25,merge_sort,40293.2,658.689,true
AlmostSorted,128,0.25,counting_sort,1532.06,30.7169,true
AlmostSorted,128,0.25,radix_sort,17488.6,665.919,true
AlmostSorted,128,0.25,heap_sort,18924.7,607.203,true
AlmostSorted,128,0.25,insertion_sort,10822.4,1213.55,true
AlmostSorted,128,0.25,selection_sort,44463.5,469.219,true
AlmostSorted,128,0.25,shell_sort,14242.4,567.604,true
AlmostSorted,128,0.333333,bubble_sort,36209.2,879.777,true
AlmostSorted,128,0.333333,merge_sort,41485.4,1605.54,true
AlmostSorted,128,0.333333,counting_sort,1518.06,30.8857,true
AlmostSorted,128,0.333333,radix_sort,18676.7,686.933,true
AlmostSorted,128,0.333333,heap_sort,19276.7,769.31,true
AlmostSorted,128,0.333333,insertion_sort,13034.4,955.619,true
AlmostSorted,128,0.333333,selection_sort,44747.5,578.231,true
AlmostSorted,128,0.333333,shell_sort,14672.4,608.321,true
AlmostSorted,128,0.416667,bubble_sort,42815.4,950.2,true
AlmostSorted,128,0.416667,merge_sort,41749.4,303.525,true
AlmostSorted,128,0.416667,counting_sort,1510,44.0606,true
AlmostSorted,128,0.416667,radix_sort,19890.6,471.744,true
AlmostSorted,128,0.416667,heap_sort,19912.8,731.494,true
AlmostSorted,128,0.416667,insertion_sort,14818.6,940.179,true
AlmostSorted,128,0.416667,selection_sort,45277.4,1564.86,true
AlmostSorted,128,0.416667,shell_sort,15290.6,379.702,true
AlmostSorted,256,0,bubble_sort,1342,52.8646,true
AlmostSorted,256,0,merge_sort,69172.4,1110.13,true
AlmostSorted,256,0,counting_sort,2870.06,63.7102,true
AlmostSorted,256,0,radix_sort,21940.7,184.28,true
AlmostSorted,256,0,heap_sort,30561.1,4193.42,true
AlmostSorted,256,0,insertion_sort,2034,79.2229,true
AlmostSorted,256,0,selection_sort,151475,1962.24,true
AlmostSorted,256,0,shell_sort,9776.5,122.708,true
AlmostSorted,256,0.0833333,bubble_sort,40759.3,2780.75,true
AlmostSorted,256,0.0833333,merge_sort,77030.8,963.933,true
AlmostSorted,256,0.0833333,counting_sort,2870,44.8286,true
AlmostSorted,256,0.0833333,radix_sort,28501,1034.01,true
AlmostSorted,256,0.0833333,heap_sort,41005.4,2415.54,true
AlmostSorted,256,0.0833333,insertion_sort,16086.5,305.397,true
