DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostInverted,8,0.416667,radix_sort,748.062,88.7637,true
AlmostInverted,8,0.416667,heap_sort,556,79.1421,true
AlmostInverted,8,0.416667,insertion_sort,296,50.258,true
AlmostInverted,8,0.416667,selection_sort,508,85.7656,true
AlmostInverted,8,0.416667,shell_sort,452.062,55.8432,true
AlmostInverted,16,0,bubble_sort,1616.06,110.321,true
AlmostInverted,16,0,merge_sort,4730.12,146.503,true
AlmostInverted,16,0,counting_sort,338,30.8459,true
AlmostInverted,16,0,radix_sort,968.125,77.1085,true
AlmostInverted,16,0,heap_sort,888.062,137.502,true
AlmostInverted,16,0,insertion_sort,928,102.533,true
AlmostInverted,16,0,selection_sort,944.062,171.96,true
AlmostInverted,16,0,shell_sort,648,121.15,true
AlmostInverted,16,0.0833333,bubble_sort,1746.06,110.841,true
AlmostInverted,16,0.0833333,merge_sort,4720.25,148.537,true
AlmostInverted,16,0.0833333,counting_sort,318,35.9555,true
AlmostInverted,16,0.0833333,radix_sort,1398,177.485,true
AlmostInverted,16,0.0833333,heap_sort,1210.12,146.968,true
AlmostInverted,16,0.0833333,insertion_sort,876,63.8665,true
AlmostInverted,16,0.0833333,selection_sort,1336.06,211.168,true
AlmostInverted,16,0.0833333,shell_sort,888,133.993,true
AlmostInverted,16,0.166667,bubble_sort,1842,103.836,true
AlmostInverted,16,0.166667,merge_sort,4782.19,140.744,true
AlmostInverted,16,0.166667,counting_sort,322,31.9333,true
AlmostInverted,16,0.166667,radix_sort,1572.12,113.076,true
AlmostInverted,16,0.166667,heap_sort,1310,63.4308,true
AlmostInverted,16,0.166667,insertion_sort,894,61.2405,true
AlmostInverted,16,0.166667,selection_sort,1514.12,183.981,true
AlmostInverted,16,0.166667,shell_sort,986.125,86.1478,true
AlmostInverted,16,0.25,bubble_sort,1926,92.9057,true
AlmostInverted,16,0.25,merge_sort,4790.12,93.2644,true
AlmostInverted,16,0.25,counting_sort,328,41.3118,true
AlmostInverted,16,0.25,radix_sort,1604.06,96.8604,true
AlmostInverted,16,0.25,heap_sort,1330.06,82.5061,true
AlmostInverted,16,0.25,insertion_sort,858,79.438,true
AlmostInverted,16,0.25,selection_sort,1570.06,169.151,true
AlmostInverted,16,0.25,shell_sort,1094.06,118.638,true
AlmostInverted,16,0.333333,bubble_sort,1970.06,92.7322,true
AlmostInverted,16,0.333333,merge_sort,4766.19,87.0549,true
AlmostInverted,16,0.333333,counting_sort,312.062,32.0176,true
AlmostInverted,16,0.333333,radix_sort,1640,93.1121,true
AlmostInverted,16,0.333333,heap_sort,1424.06,113.241,true
AlmostInverted,16,0.333333,insertion_sort,822,46.3264,true
AlmostInverted,16,0.333333,selection_sort,1650,101.172,true
AlmostInverted,16,0.333333,shell_sort,1132.12,122.399,true
AlmostInverted,16,0.416667,bubble_sort,1976,57.8366,true
AlmostInverted,16,0.416667,merge_sort,4856.12,151.769,true
AlmostInverted,16,0.416667,counting_sort,326,33.4983,true
AlmostInverted,16,0.416667,radix_sort,1706,78.1383,true
AlmostInverted,16,0.416667,heap_sort,1466.19,108.627,true
AlmostInverted,16,0.416667,insertion_sort,826,78.574,true
AlmostInverted,16,0.416667,selection_sort,1668.06,82.595,true
AlmostInverted,16,0.416667,shell_sort,1088.12,92.7914,true
AlmostInverted,32,0,bubble_sort,5984.19,1113.94,true
AlmostInverted,32,0,merge_sort,9762.44,221.391,true
AlmostInverted,32,0,counting_sort,518,56.3039,true
AlmostInverted,32,0,radix_sort,2134,91.0502,true
AlmostInverted,32,0,heap_sort,2014,268.105,true
AlmostInverted,32,0,insertion_sort,2894.12,125.766,true
AlmostInverted,32,0,selection_sort,3108.12,346.36,true
AlmostInverted,32,0,shell_sort,1306.12,301.996,true
AlmostInverted,32,0.0833333,bubble_sort,6066.25,97.7572,true
AlmostInverted,32,0.0833333,merge_sort,9876.25,182.2,true
AlmostInverted,32,0.0833333,counting_sort,506,44.0606,true
AlmostInverted,32,0.0833333,radix_sort,3120.12,147.31,true
AlmostInverted,32,0.0833333,heap_sort,3064.06,178.303,true
AlmostInverted,32,0.0833333,insertion_sort,2874.19,126.518,true
AlmostInverted,32,0.0833333,selection_sort,4378.12,250.008,true
AlmostInverted,32,0.0833333,shell_sort,2186.06,184.979,true
AlmostInverted,32,0.166667,bubble_sort,6418.25,144.411,true
AlmostInverted,32,0.166667,merge_sort,9992.38,174.705,true
AlmostInverted,32,0.166667,counting_sort,520,34.0666,true
AlmostInverted,32,0.166667,radix_sort,3374.12,113.985,true
AlmostInverted,32,0.166667,heap_sort,3354.12,166.986,true
AlmostInverted,32,0.166667,insertion_sort,2770.06,81.8572,true
AlmostInverted,32,0.166667,selection_sort,4784.19,287.96,true
AlmostInverted,32,0.166667,shell_sort,2438.12,244.418,true
AlmostInverted,32,0.25,bubble_sort,6672.12,260.379,true
AlmostInverted,32,0.25,merge_sort,10124.5,160.027,true
AlmostInverted,32,0.25,counting_sort,528,35.0542,true
AlmostInverted,32,0.25,radix_sort,3654,149.738,true
AlmostInverted,32,0.25,heap_sort,3424.25,212.506,true
AlmostInverted,32,0.25,insertion_sort,2654,99.4706,true
AlmostInverted,32,0.25,selection_sort,4990.12,256.925,true
AlmostInverted,32,0.25,shell_sort,2650,283.393,true
AlmostInverted,32,0.333333,bubble_sort,6820.31,297.978,true
AlmostInverted,32,0.333333,merge_sort,10122.3,214.04,true
AlmostInverted,32,0.333333,counting_sort,514,41.2602,true
AlmostInverted,32,0.333333,radix_sort,3878.12,247.67,true
AlmostInverted,32,0.333333,heap_sort,3444.19,214.097,true
AlmostInverted,32,0.333333,insertion_sort,2582.12,104.932,true
AlmostInverted,32,0.333333,selection_sort,5184.19,212.144,true
AlmostInverted,32,0.333333,shell_sort,2678.06,238.219,true
AlmostInverted,32,0.416667,bubble_sort,6936.25,244.596,true
AlmostInverted,32,0.416667,merge_sort,10196.4,120.785,true
AlmostInverted,32,0.416667,counting_sort,504,37.8629,true
AlmostInverted,32,0.416667,radix_sort,4030.19,179.543,true
AlmostInverted,32,0.416667,heap_sort,3516.12,183.201,true
AlmostInverted,32,0.416667,insertion_sort,2568.06,200.849,true
AlmostInverted,32,0.416667,selection_sort,5172.19,164.784,true
AlmostInverted,32,0.416667,shell_sort,2692.12,192.098,true
AlmostInverted,64,0,bubble_sort,21518.7,188.753,true
AlmostInverted,64,0,merge_sort,19170.8,323.285,true
AlmostInverted,64,0,counting_sort,890.062,56.2737,true
AlmostInverted,64,0,radix_sort,4522.12,114.885,true
AlmostInverted,64,0,heap_sort,4720.12,889.745,true
AlmostInverted,64,0,insertion_sort,10820.3,268.133,true
AlmostInverted,64,0,selection_sort,10982.4,490.355,true
AlmostInverted,64,0,shell_sort,2858,364.242,true
AlmostInverted,64,0.0833333,bubble_sort,22782.8,430.525,true
AlmostInverted,64,0.0833333,merge_sort,19918.6,431.529,true
AlmostInverted,64,0.0833333,counting_sort,882,54.7674,true
AlmostInverted,64,0.0833333,radix_sort,6164.38,459.817,true
AlmostInverted,64,0.0833333,heap_sort,7352.25,355.504,true
AlmostInverted,64,0.0833333,insertion_sort,11034.4,2036.85,true
AlmostInverted,64,0.0833333,selection_sort,14514.4,1603.78,true
AlmostInverted,64,0.0833333,shell_sort,5458.12,344.316,true
AlmostInverted,64,0.166667,bubble_sort,23520.8,480.626,true
AlmostInverted,64,0.166667,merge_sort,20270.6,217.63,true
AlmostInverted,64,0.166667,counting_sort,886.062,41.7907,true
AlmostInverted,64,0.166667,radix_sort,6944.25,292.644,true
AlmostInverted,64,0.166667,heap_sort,7706.25,310.415,true
AlmostInverted,64,0.166667,insertion_sort,10368.2,1642.59,true
AlmostInverted,64,0.166667,selection_sort,15088.5,418.562,true
AlmostInverted,64,0.166667,shell_sort,5954.19,311.903,true
AlmostInverted,64,0.25,bubble_sort,23952.8,705.919,true
AlmostInverted,64,0.25,merge_sort,20408.7,242.633,true
AlmostInverted,64,0.25,counting_sort,866,37.8065,true
AlmostInverted,64,0.25,radix_sort,7612.31,353.878,true
AlmostInverted,64,0.25,heap_sort,7852.31,310.734,true
AlmostInverted,64,0.25,insertion_sort,9726.19,1256.15,true
AlmostInverted,64,0.25,selection_sort,15754.8,1546.51,true
AlmostInverted,64,0.25,shell_sort,6294.12,351.476,true
AlmostInverted,64,0.333333,bubble_sort,24242.8,762.938,true
AlmostInverted,64,0.333333,merge_sort,20577,264.396,true
AlmostInverted,64,0.333333,counting_sort,864,36.9504,true
AlmostInverted,64,0.333333,radix_sort,8218.06,349.233,true
AlmostInverted,64,0.333333,heap_sort,8204.62,342.822,true
AlmostInverted,64,0.333333,insertion_sort,9314.25,1236.6,true
AlmostInverted,64,0.333333,selection_sort,15758.7,379.963,true
AlmostInverted,64,0.333333,shell_sort,6556.31,313.39,true
AlmostInverted,64,0.416667,bubble_sort,24452.8,807.214,true
AlmostInverted,64,0.416667,merge_sort,20934.4,268.525,true
AlmostInverted,64,0.416667,counting_sort,910,112.057,true
AlmostInverted,64,0.416667,radix_sort,8880.69,349.18,true
AlmostInverted,64,0.416667,heap_sort,8218.25,350.31,true
AlmostInverted,64,0.416667,insertion_sort,8738,326.644,true
AlmostInverted,64,0.416667,selection_sort,15624.8,298.512,true
AlmostInverted,64,0.416667,shell_sort,6802.19,242.778,true
AlmostInverted,128,0,bubble_sort,83826.9,210.387,true
AlmostInverted,128,0,merge_sort,38847.4,338.905,true
AlmostInverted,128,0,counting_sort,1558.12,39.8746,true
AlmostInverted,128,0,radix_sort,10390.2,127.554,true
AlmostInverted,128,0,heap_sort,11188.4,1906.73,true
AlmostInverted,128,0,insertion_sort,44065.4,5785.57,true
AlmostInverted,128,0,selection_sort,41173.2,1947.89,true
AlmostInverted,128,0,shell_sort,6330.44,551.65,true
AlmostInverted,128,0.0833333,bubble_sort,89459.1,1152.26,true
AlmostInverted,128,0.0833333,merge_sort,41191.3,1373.05,true
AlmostInverted,128,0.0833333,counting_sort,1558.06,53.1996,true
AlmostInverted,128,0.0833333,radix_sort,13968.5,440.795,true
AlmostInverted,128,0.0833333,heap_sort,17454.6,487.754,true
AlmostInverted,128,0.0833333,insertion_sort,39703.4,348.828,true
AlmostInverted,128,0.0833333,selection_sort,47897.6,588.368,true
AlmostInverted,128,0.0833333,shell_sort,12992.5,607.902,true
AlmostInverted,128,0.166667,bubble_sort,90927.1,2559.94,true
AlmostInverted,128,0.166667,merge_sort,42163.4,2391.1,true
AlmostInverted,128,0.166667,counting_sort,1550.06,48.1144,true
AlmostInverted,128,0.166667,radix_sort,16004.4,374.557,true
AlmostInverted,128,0.166667,heap_sort,18374.6,432.333,true
AlmostInverted,128,0.166667,insertion_sort,37257.3,501.508,true
AlmostInverted,128,0.166667,selection_sort,49915.7,889.273,true
AlmostInverted,128,0.166667,shell_sort,14344.5,859.519,true
AlmostInverted,128,0.25,bubble_sort,90671.1,2295.62,true
AlmostInverted,128,0.25,merge_sort,42223.5,438.56,true
AlmostInverted,128,0.25,counting_sort,1568,61.8299,true
AlmostInverted,128,0.25,radix_sort,17710.6,597.999,true
AlmostInverted,128,0.25,heap_sort,19034.7,626.801,true
AlmostInverted,128,0.25,insertion_sort,35457.1,727.601,true
AlmostInverted,128,0.25,selection_sort,50169.9,764.745,true
AlmostInverted,128,0.25,shell_sort,14958.4,658.765,true
AlmostInverted,128,0.333333,bubble_sort,90063.1,2138.24,true
AlmostInverted,128,0.333333,merge_sort,42693.5,432.292,true
AlmostInverted,128,0.333333,counting_sort,1542,53.8244,true
AlmostInverted,128,0.333333,radix_sort,18978.6,664.432,true
AlmostInverted,128,0.333333,heap_sort,19426.8,695.78,true
AlmostInverted,128,0.333333,insertion_sort,34905.1,2368.12,true
AlmostInverted,128,0.333333,selection_sort,50633.7,1234.37,true
AlmostInverted,128,0.333333,shell_sort,15342.6,536.235,true
AlmostInverted,128,0.416667,bubble_sort,90091.1,2405.84,true
AlmostInverted,128,0.416667,merge_sort,43605.5,1721.31,true
AlmostInverted,128,0.416667,counting_sort,1586.06,58.4402,true
AlmostInverted,128,0.416667,radix_sort,20382.7,732.717,true
AlmostInverted,128,0.416667,heap_sort,19768.7,734.133,true
AlmostInverted,128,0.416667,insertion_sort,33469.1,3190.97,true
AlmostInverted,128,0.416667,selection_sort,50533.8,685.131,true
AlmostInverted,128,0.416667,shell_sort,15518.6,536.945,true
AlmostInverted,256,0,bubble_sort,332165,1032.69,true
AlmostInverted,256,0,merge_sort,79240.7,756.328,true
AlmostInverted,256,0,counting_sort,2872.06,39.6929,true
AlmostInverted,256,0,radix_sort,21592.7,105.624,true
AlmostInverted,256,0,heap_sort,31385.1,3137.27,true
AlmostInverted,256,0,insertion_sort,171356,1314.44,true
AlmostInverted,256,0,selection_sort,156401,1755.87,true
AlmostInverted,256,0,shell_sort,15348.6,638.981,true
AlmostInverted,256,0.0833333,bubble_sort,360360,9924.61,true
AlmostInverted,256,0.0833333,merge_sort,84374.9,812.834,true
AlmostInverted,256,0.0833333,counting_sort,2916.25,136.65,true
AlmostInverted,256,0.0833333,radix_sort,29058.8,1585.34,true
AlmostInverted,256,0.0833333,heap_sort,40845.2,920.896,true
AlmostInverted,256,0.0833333,insertion_sort,157839,880.255,true
AlmostInverted,256,0.0833333,selection_sort,171352,2034.31,true
AlmostInverted,256,0.0833333,shell_sort,30711,769.307,true
AlmostInverted,256,0.166667,bubble_sort,357852,7153.62,true
AlmostInverted,256,0.166667,merge_sort,86354.9,802.81,true
AlmostInverted,256,0.166667,counting_sort,2904.12,42.8593,true
AlmostInverted,256,0.166667,radix_sort,33639.2,1048.44,true
AlmostInverted,256,0.166667,heap_sort,42903.4,1020.48,true
AlmostInverted,256,0.166667,insertion_sort,147733,1542.21,true
AlmostInverted,256,0.166667,selection_sort,175324,3343.66,true
AlmostInverted,256,0.166667,shell_sort,34163.3,1090.77,true
AlmostInverted,256,0.25,bubble_sort,351530,7346.71,true
AlmostInverted,256,0.25,merge_sort,87490.9,626.395,true
AlmostInverted,256,0.25,counting_sort,2898,43.6715,true
AlmostInverted,256,0.25,radix_sort,38129.3,1263.41,true
AlmostInverted,256,0.25,heap_sort,44653.6,1061,true
AlmostInverted,256,0.25,insertion_sort,140979,4636.59,true
AlmostInverted,256,0.25,selection_sort,175940,1238.44,true
AlmostInverted,256,0.25,shell_sort,35681.2,987.951,true
AlmostInverted,256,0.333333,bubble_sort,343922,5392.44,true
AlmostInverted,256,0.333333,merge_sort,88911.1,666.628,true
AlmostInverted,256,0.333333,counting_sort,2898.12,45.2502,true
AlmostInverted,256,0.333333,radix_sort,42229.5,2134.34,true
AlmostInverted,256,0.333333,heap_sort,45471.6,1024.27,true
AlmostInverted,256,0.333333,insertion_sort,132132,2158.14,true
AlmostInverted,256,0.333333,selection_sort,176584,1687.16,true
AlmostInverted,256,0.333333,shell_sort,36809.5,1016.31,true
AlmostInverted,256,0.416667,bubble_sort,341836,3871.1,true
AlmostInverted,256,0.416667,merge_sort,89873,628.914,true
AlmostInverted,256,0.416667,counting_sort,2904,56.6439,true
AlmostInverted,256,0.416667,radix_sort,44775.6,1196.82,true
AlmostInverted,256,0.416667,heap_sort,45755.6,1240.31,true
AlmostInverted,256,0.416667,insertion_sort,125286,3173.53,true
AlmostInverted,256,0.416667,selection_sort,177430,1836.25,true
AlmostInverted,256,0.416667,shell_sort,37603.4,796.752,true
