DataType,Size,Ratio,Algorithm,CPU_MeanTime(ns),CPU_StdDeviation(ns),CPU_AllSorted,CUDA_MeanTime(ns),CUDA_StdDeviation(ns),CUDA_AllSorted,Speedup
AlmostSorted,16,0.0833333,merge_sort,4368.06,177.623,true,1.12775e+06,375162,true,0.00387325
AlmostSorted,16,0.0833333,counting_sort,282,31.3943,true,745823,376274,true,0.000378106
AlmostSorted,16,0.0833333,radix_sort,1470.06,162.107,true,1.05583e+06,397332,true,0.00139233
AlmostSorted,16,0.0833333,heap_sort,1432,179.314,true,0,0,true,0
AlmostSorted,16,0.166667,bubble_sort,612,73.7853,true,6.78459e+06,24499.8,true,9.02044e-05
AlmostSorted,16,0.166667,merge_sort,4498.06,128.507,true,792951,12659.7,true,0.00567256
AlmostSorted,16,0.166667,counting_sort,292,25.7992,true,424647,24289.1,true,0.000687631
AlmostSorted,16,0.166667,radix_sort,1610.06,128.809,true,688806,35236.4,true,0.00233747
AlmostSorted,16,0.166667,heap_sort,1502,140.93,true,0,0,true,0
AlmostSorted,16,0.25,bubble_sort,712,81.3749,true,6.77022e+06,30414.3,true,0.000105166
AlmostSorted,16,0.25,merge_sort,4642.19,143.3,true,795251,16869,true,0.00583739
AlmostSorted,16,0.25,counting_sort,286,29.7187,true,413054,20431.4,true,0.000692404
AlmostSorted,16,0.25,radix_sort,1588.12,99.8939,true,692578,26355.1,true,0.00229306
AlmostSorted,16,0.25,heap_sort,1376.06,126.895,true,0,0,true,0
AlmostSorted,16,0.333333,bubble_sort,874,74.5618,true,6.77399e+06,26264.7,true,0.000129023
AlmostSorted,16,0.333333,merge_sort,4596.25,170.915,true,787095,6104.88,true,0.00583951
AlmostSorted,16,0.333333,counting_sort,278,30.2875,true,413580,22760.7,true,0.00067218
AlmostSorted,16,0.333333,radix_sort,1660.19,133.553,true,677219,18694.7,true,0.00245148
AlmostSorted,16,0.333333,heap_sort,1384.06,149.463,true,0,0,true,0
AlmostSorted,16,0.416667,bubble_sort,996,77.3977,true,6.78073e+06,26727.4,true,0.000146887
AlmostSorted,16,0.416667,merge_sort,4774.12,182.599,true,786423,7431.15,true,0.00607069
AlmostSorted,16,0.416667,counting_sort,274,32.9848,true,427895,85433.9,true,0.000640344
AlmostSorted,16,0.416667,radix_sort,1664.06,54.768,true,685553,18251.2,true,0.00242733
AlmostSorted,16,0.416667,heap_sort,1414,98.609,true,0,0,true,0
AlmostSorted,32,0,bubble_sort,254,41.2602,true,2.68276e+07,43444.1,true,9.46786e-06
AlmostSorted,32,0,merge_sort,8354.5,239.257,true,1.24061e+06,26137.7,true,0.00673419
AlmostSorted,32,0,counting_sort,504,111.159,true,432547,22132.2,true,0.00116519
AlmostSorted,32,0,radix_sort,2694.06,1735.63,true,772166,35985.4,true,0.00348897
