DataType,Size,Ratio,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
AlmostInverted,8,0.333333,cuda_selection_sort,0,0,true
AlmostInverted,8,0.333333,cuda_shell_sort,0,0,true
AlmostInverted,8,0.416667,cuda_bubble_sort,1.89355e+06,29355.6,true
AlmostInverted,8,0.416667,cuda_merge_sort,587474,11826.7,true
AlmostInverted,8,0.416667,cuda_counting_sort,434413,15781.3,true
AlmostInverted,8,0.416667,cuda_radix_sort,637038,34858.1,true
AlmostInverted,8,0.416667,cuda_heap_sort,0,0,true
AlmostInverted,8,0.416667,cuda_insertion_sort,0,0,true
AlmostInverted,8,0.416667,cuda_selection_sort,0,0,true
AlmostInverted,8,0.416667,cuda_shell_sort,0,0,true
AlmostInverted,16,0,cuda_bubble_sort,6.77405e+06,28022.5,true
AlmostInverted,16,0,cuda_merge_sort,788491,13003.9,true
AlmostInverted,16,0,cuda_counting_sort,408576,17145.6,true
AlmostInverted,16,0,cuda_radix_sort,696020,20837.9,true
AlmostInverted,16,0,cuda_heap_sort,0,0,true
AlmostInverted,16,0,cuda_insertion_sort,0,0,true
AlmostInverted,16,0,cuda_selection_sort,0,0,true
AlmostInverted,16,0,cuda_shell_sort,0,0,true
AlmostInverted,16,0.0833333,cuda_bubble_sort,6.76743e+06,27346.9,true
AlmostInverted,16,0.0833333,cuda_merge_sort,806809,30676.3,true
AlmostInverted,16,0.0833333,cuda_counting_sort,425508,28262.1,true
AlmostInverted,16,0.0833333,cuda_radix_sort,679437,17840.3,true
AlmostInverted,16,0.0833333,cuda_heap_sort,0,0,true
AlmostInverted,16,0.0833333,cuda_insertion_sort,0,0,true
AlmostInverted,16,0.0833333,cuda_selection_sort,0,0,true
AlmostInverted,16,0.0833333,cuda_shell_sort,0,0,true
AlmostInverted,16,0.166667,cuda_bubble_sort,6.77675e+06,36794.1,true
AlmostInverted,16,0.166667,cuda_merge_sort,789843,13008.2,true
AlmostInverted,16,0.166667,cuda_counting_sort,410882,16473.5,true
AlmostInverted,16,0.166667,cuda_radix_sort,678783,24226.8,true
AlmostInverted,16,0.166667,cuda_heap_sort,0,0,true
AlmostInverted,16,0.166667,cuda_insertion_sort,0,0,true
AlmostInverted,16,0.166667,cuda_selection_sort,0,0,true
AlmostInverted,16,0.166667,cuda_shell_sort,0,0,true
AlmostInverted,16,0.25,cuda_bubble_sort,6.78407e+06,26736.4,true
AlmostInverted,16,0.25,cuda_merge_sort,791677,13913.1,true
AlmostInverted,16,0.25,cuda_counting_sort,414240,13060.2,true
AlmostInverted,16,0.25,cuda_radix_sort,685753,24290.9,true
AlmostInverted,16,0.25,cuda_heap_sort,0,0,true
AlmostInverted,16,0.25,cuda_insertion_sort,0,0,true
AlmostInverted,16,0.25,cuda_selection_sort,0,0,true
AlmostInverted,16,0.25,cuda_shell_sort,0,0,true
AlmostInverted,16,0.333333,cuda_bubble_sort,6.77685e+06,25646,true
AlmostInverted,16,0.333333,cuda_merge_sort,789527,9992.94,true
AlmostInverted,16,0.333333,cuda_counting_sort,425530,27440,true
AlmostInverted,16,0.333333,cuda_radix_sort,682353,24845.8,true
AlmostInverted,16,0.333333,cuda_heap_sort,0,0,true
AlmostInverted,16,0.333333,cuda_insertion_sort,0,0,true
AlmostInverted,16,0.333333,cuda_selection_sort,0,0,true
AlmostInverted,16,0.333333,cuda_shell_sort,0,0,true
AlmostInverted,16,0.416667,cuda_bubble_sort,6.77885e+06,25443.9,true
AlmostInverted,16,0.416667,cuda_merge_sort,800681,13590.6,true
AlmostInverted,16,0.416667,cuda_counting_sort,426348,16415.8,true
AlmostInverted,16,0.416667,cuda_radix_sort,683517,30766.3,true
